order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,product_id,unit_price,quantity,discount,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at
10400,EASTC,1,1997-01-01,1997-01-29,1997-01-16,3,83.93,Eastern Connection,35 King George,London,"",WX3 6FW,UK,49,16.0,30,0.0,2025-02-04 06:32:56.847163,2025-02-04 06:32:57.270288,2025-02-04 06:32:57.090344,,1738650777270,,1738650776894
10401,RATTC,1,1997-01-01,1997-01-29,1997-01-10,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,71,17.2,60,0.0,2025-02-04 06:32:56.847688,2025-02-04 06:32:57.271602,2025-02-04 06:32:57.090344,,1738650777272,,1738650776894
10402,ERNSH,8,1997-01-02,1997-02-13,1997-01-10,2,67.88,Ernst Handel,Kirchgasse 6,Graz,"",8010,Austria,63,35.1,65,0.0,2025-02-04 06:32:56.847953,2025-02-04 06:32:57.272306,2025-02-04 06:32:57.090344,,1738650777272,,1738650776894
10403,ERNSH,4,1997-01-03,1997-01-31,1997-01-09,3,73.79,Ernst Handel,Kirchgasse 6,Graz,"",8010,Austria,48,10.2,70,0.15,2025-02-04 06:32:56.84824,2025-02-04 06:32:57.272944,2025-02-04 06:32:57.090344,,1738650777273,,1738650776894
10404,MAGAA,2,1997-01-03,1997-01-31,1997-01-08,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,"",24100,Italy,49,16.0,30,0.05,2025-02-04 06:32:56.848626,2025-02-04 06:32:57.273949,2025-02-04 06:32:57.090344,,1738650777274,,1738650776894
10405,LINOD,1,1997-01-06,1997-02-03,1997-01-22,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,3,8.0,50,0.0,2025-02-04 06:32:56.848772,2025-02-04 06:32:57.274311,2025-02-04 06:32:57.090344,,1738650777274,,1738650776894
10406,QUEEN,7,1997-01-07,1997-02-18,1997-01-13,1,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,40,14.7,2,0.1,2025-02-04 06:32:56.849467,2025-02-04 06:32:57.276036,2025-02-04 06:32:57.090344,,1738650777276,,1738650776894
10407,OTTIK,2,1997-01-07,1997-02-04,1997-01-30,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,"",50739,Germany,71,17.2,15,0.0,2025-02-04 06:32:56.849925,2025-02-04 06:32:57.277239,2025-02-04 06:32:57.090344,,1738650777277,,1738650776894
10408,FOLIG,8,1997-01-08,1997-02-05,1997-01-14,1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,"",59000,France,62,39.4,35,0.0,2025-02-04 06:32:56.850342,2025-02-04 06:32:57.278371,2025-02-04 06:32:57.090344,,1738650777278,,1738650776894
10409,OCEAN,3,1997-01-09,1997-02-06,1997-01-14,1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,"",1010,Argentina,21,8.0,12,0.0,2025-02-04 06:32:56.850615,2025-02-04 06:32:57.279084,2025-02-04 06:32:57.090344,,1738650777279,,1738650776894
